Название вакансии | Работодатель | Зарплата
===========================================
Продавец по выкладке товаров | РаботаВсем | 70000 - 120000 RUR
Сотрудник магазина | РаботаВсем | 70000 - 120000 RUR
Врач Хирург в Катар и Дубай | Скай | 750000 - 3000000 RUR
Сотрудник магазина | РаботаВсем | 70000 - 120000 RUR
Сотрудник магазина | РаботаВсем | 70000 - 120000 RUR
Сотрудник магазина | РаботаВсем | 70000 - 120000 RUR
Личный помощник директора торговой компании | Лавёрычев Андрей Алексеевич | 300000 - 350000 RUR
Менеджер в Кремль | Кубельский Илья Владимирович | от 200000 RUR
Комплектовщик-упаковщик онлайн-заказов на склад | Фёсти | до 131000 RUR
Менеджер чатов Telegram | StarKids | от 50000 RUR
Начальник службы безопасности (в единственном лице) | КВИН КОНСАЛТИНГ | от 150000 RUR
Веб-дизайнер | Наука ПСИ2.0 | 100000 - 120000 RUR
Стажер с кривыми руками | Писковацкова Елена Сергеевна | 70000 - 150000 RUR
Административный директор в крупное российское промышленное предприятие | Центр Карьерной Диагностики C.R.C. | до 800000 RUR
Регистратор воздушных судов (БПЛА) | Горбунов Алексей Юрьевич | от 100000 RUR
Специалист по документообороту в отделе флота | СКФ ТМ | от 135000 RUR
Водитель на служебном Hyundai solaris | StaffSync | 109000 - 175000 RUR
Водитель на служебном Hyundai solaris | StaffSync | 109000 - 175000 RUR
Персональный водитель (с функциями личного помощника) | Семья | 160000 - 160000 RUR
Водитель на служебном Hyundai solaris | StaffSync | 109000 - 175000 RUR
Заместитель генерального директора по девелопменту и продажам | Московский фонд реновации жилой застройки | 900000 - 900000 RUR
Консультант премиум бренда | Aurum Queen | до 250000 RUR
Ассистент в команду артиста | Black Star | от 60000 RUR
Помощник Олигарха | Ленстроймонолит | 130000 - 600000 RUR
Водитель | Артлайф | от 89600 RUR
Личный водитель | Ginza Project | 100000 - 130000 RUR
Модератор в команду модерации ВКонтакте | VK | не указана
Директор по персоналу (HRD в IT) | Компания Апогей (Техподдержка 1С) | от 700000 RUR
Менеджер по работе с отзывами Wildberries | Якушевский Евгений Русланович | от 30000 RUR
Охранник 1/3 или 2/4 | Кадрика | 85000 - 140000 RUR
